idx,precision,recall
1,0.635,0.26883333333333626
2,0.64875,0.4338749999999912
3,0.6854999999999954,0.606749999999998
4,0.7145,0.7637083333333178
5,0.7196000000000043,0.8637499999999855
6,0.718124999999997,0.9398333333333263
7,0.7147857142857116,0.9806666666666646
8,0.7075625,0.9949583333333328
9,0.7001388888888924,0.9987916666666666
10,0.6919249999999912,0.9995000000000002
11,0.6874090909090802,0.99975
12,0.682729166666663,0.9999166666666667
13,0.677884615384608,1.0
14,0.6729285714285825,1.0
15,0.6680833333333078,1.0
